id,uri,prefLabel,definition
SDN:P06::PMLD,http://vocab.nerc.ac.uk/collection/P06/current/PMLD/,Picomoles per litre per day,A change in the quantity of matter of 10^-12 moles in the SI unit of volume scaled by 10^-3 over a period of 86400 seconds.
SDN:P06::UNDX,http://vocab.nerc.ac.uk/collection/P06/current/UNDX/,Number per square metre per day,Unavailable
SDN:P06::MGAL,http://vocab.nerc.ac.uk/collection/P06/current/MGAL/,MilliGals,One thousandth part of a unit of gravitational acceleration equal to one centimetre per second per second.
SDN:P06::SQCC,http://vocab.nerc.ac.uk/collection/P06/current/SQCC/,Square centimetres per cubic centimetre,Unavailable.
SDN:P06::UMIN,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/,Minutes,A time interval of sixty seconds.
SDN:P06::UUTU,http://vocab.nerc.ac.uk/collection/P06/current/UUTU/,Tritium units (10**18H/Tr),Unavailable
SDN:P06::UBLV,http://vocab.nerc.ac.uk/collection/P06/current/UBLV/,Parts per billion by volume,Unavailable
SDN:P06::CMCM,http://vocab.nerc.ac.uk/collection/P06/current/CMCM/,Cubic millimetres per cubic metre,One part in 10^9 of the SI unit of volume in the SI unit of volume.
SDN:P06::UMSM,http://vocab.nerc.ac.uk/collection/P06/current/UMSM/,Micromoles per square metre,10^-6 of the SI unit of quantity of matter (the mole) per SI unit area.
SDN:P06::THSC,http://vocab.nerc.ac.uk/collection/P06/current/THSC/,thousandths of a second,One thousandth part of the time interval of a second.
SDN:P06::DBPY,http://vocab.nerc.ac.uk/collection/P06/current/DBPY/,Decibars per year,A rate of change of pressure expressed in decibars over a period of an average calendar year (365.25 days).
SDN:P06::UGDC,http://vocab.nerc.ac.uk/collection/P06/current/UGDC/,Milligrams per cubic metre per day,Unavailable
SDN:P06::OHMM,http://vocab.nerc.ac.uk/collection/P06/current/OHMM/,Ohm metres,Electrical resistance expressed in Ohms of a one metre length of conductor. Ohm is the SI unit of electrical resistance defined as the electrical resistance offered by a current-carrying element that produces a voltage drop of one volt when a current of one ampere is flowing through it.
SDN:P06::M2HD,http://vocab.nerc.ac.uk/collection/P06/current/M2HD/,Square metres per Hertz per degree,Unavailable
SDN:P06::UPCC,http://vocab.nerc.ac.uk/collection/P06/current/UPCC/,Degrees Celsius per metre,Unavailable
SDN:P06::DKPM,http://vocab.nerc.ac.uk/collection/P06/current/DKPM/,Degrees Kelvin per metre,A rate of change of one unit on the Kelvin temperature scale per unit length of one metre.
SDN:P06::KPMT,http://vocab.nerc.ac.uk/collection/P06/current/KPMT/,Kelvins per metre,A change of temperature on the Kelvin temperature scale in one SI unit of length.
SDN:P06::RAPS,http://vocab.nerc.ac.uk/collection/P06/current/RAPS/,Radians per second,Unavailable.
