id,uri,prefLabel,definition
SDN:P06::EVLT,http://vocab.nerc.ac.uk/collection/P06/current/EVLT/,Electronvolts,The amount of energy gained or lost by the charge of a single electron moving across an electric potential difference of one volt. One electronvolt equal to 1.602*10−19 joules.
SDN:P06::MSPM,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,MilliSiemens per metre,One part per 10^3 (thousand) of the SI derived unit of electrical conductivity divided by the SI base unit of length.
SDN:P06::GCM2,http://vocab.nerc.ac.uk/collection/P06/current/GCM2/,Grams per square centimetre,A non-SI unit of pressure (sometimes referred to as gram-force per centimetre square) equivalent to 98.0665 Pascals.
SDN:P06::UMSC,http://vocab.nerc.ac.uk/collection/P06/current/UMSC/,Milliseconds,A time interval of one thousandth of a second.
SDN:P06::UMCH,http://vocab.nerc.ac.uk/collection/P06/current/UMCH/,Millilitres cleared per individual per hour,Unavailable
SDN:P06::UMTD,http://vocab.nerc.ac.uk/collection/P06/current/UMTD/,Square metres.cubic Hertz,Unavailable
SDN:P06::USPC,http://vocab.nerc.ac.uk/collection/P06/current/USPC/,Not specified,The units are deliberately undefined such as arbitrary units.
SDN:P06::UDPM,http://vocab.nerc.ac.uk/collection/P06/current/UDPM/,Micromoles per disintegrations per minute,10^-6 of the SI unit of quantity of matter (the mole) per disintegrations per minute. Used to express the ratio of POC to Thorium-234.
SDN:P06::NOPM,http://vocab.nerc.ac.uk/collection/P06/current/NOPM/,Number per metre,Unavailable.
SDN:P06::UPCM,http://vocab.nerc.ac.uk/collection/P06/current/UPCM/,per centimetre,Unavailable
SDN:P06::UVAY,http://vocab.nerc.ac.uk/collection/P06/current/UVAY/,Number per square centimetre per thousand years,Unavailable
SDN:P06::MGLH,http://vocab.nerc.ac.uk/collection/P06/current/MGLH/,Micrograms per litre per hour,A rate of change of mass of a measurand equivalent to 10^-9 kilogram (the SI unit of mass) per litre volume of matrix over a period of 1 hour.
SDN:P06::UPVW,http://vocab.nerc.ac.uk/collection/P06/current/UPVW/,Picomoles per metre per watt per second,Unavailable
SDN:P06::MBPG,http://vocab.nerc.ac.uk/collection/P06/current/MBPG/,Millibecquerels per gram,One radioactive disintegration per thousand seconds per 1000th SI unit of sample mass.
SDN:P06::UMMD,http://vocab.nerc.ac.uk/collection/P06/current/UMMD/,Micromoles per litre per day,Unavailable
SDN:P06::PMMM,http://vocab.nerc.ac.uk/collection/P06/current/PMMM/,Picomoles per milligram per minute,A change in the quantity of matter of 10^-12 moles in 10^-6 of the SI unit of mass over a period of 60 seconds.
SDN:P06::UCSS,http://vocab.nerc.ac.uk/collection/P06/current/UCSS/,Degrees Celsius squared per second,Unavailable
SDN:P06::NAMP,http://vocab.nerc.ac.uk/collection/P06/current/NAMP/,Nanoamperes,An SI unit of electrical current equal to 10^−9 amperes.
SDN:P06::MRAD,http://vocab.nerc.ac.uk/collection/P06/current/MRAD/,Millirads per hour,One thousandth part of an absorbed ionizing radiation dose equal to 100 ergs per gram of irradiated material received per hour.
SDN:P06::NPMM,http://vocab.nerc.ac.uk/collection/P06/current/NPMM/,Nanomoles per milligram per minute,"10^-9 of the SI unit of quantity of matter (the mole) per milligram of a substance per minute. Used to express the activity of enzymes by giving the quantity of product formed by the enzyme (in nanomoles), per mass of total protein (milligrams) in a given amount of time (minute)."
SDN:P06::MPGH,http://vocab.nerc.ac.uk/collection/P06/current/MPGH/,Moles per gram per hour,SI unit of the quantity of matter per SI unit of mass per unit of time expressed in hour.
SDN:P06::UMLV,http://vocab.nerc.ac.uk/collection/P06/current/UMLV/,Parts per million by volume,Unavailable
SDN:P06::UMDX,http://vocab.nerc.ac.uk/collection/P06/current/UMDX/,Millimoles per square metre per day,Unavailable
SDN:P06::UMAA,http://vocab.nerc.ac.uk/collection/P06/current/UMAA/,Nanoteslas,Unavailable
SDN:P06::UUMV,http://vocab.nerc.ac.uk/collection/P06/current/UUMV/,Millivolts,Unavailable
SDN:P06::MMOM,http://vocab.nerc.ac.uk/collection/P06/current/MMOM/,Millimoles per mole,Unavailable
SDN:P06::JCMH,http://vocab.nerc.ac.uk/collection/P06/current/JCMH/,Joules per square centimetre per day,Radiant energy per 10^-4 SI unit area over a period of one day.
SDN:P06::UMAM,http://vocab.nerc.ac.uk/collection/P06/current/UMAM/,Milliamps,Unavailable
SDN:P06::CCPM,http://vocab.nerc.ac.uk/collection/P06/current/CCPM/,Millilitres per minute,Unavailable
SDN:P06::UMEC,http://vocab.nerc.ac.uk/collection/P06/current/UMEC/,MicroEinsteins per cubic metre per second,Unavailable
SDN:P06::UCCL,http://vocab.nerc.ac.uk/collection/P06/current/UCCL/,Milligrams of carbon per milligram of chlorophyll per hour,Unavailable
SDN:P06::UGPM,http://vocab.nerc.ac.uk/collection/P06/current/UGPM/,MicroGals per metre,A rate of change of one millionth part of a unit of gravitational acceleration equal to one centimetre per second per second over a distance of one metre.
SDN:P06::SMPG,http://vocab.nerc.ac.uk/collection/P06/current/SMPG/,Square metres per gram,Unavailable
SDN:P06::UMSG,http://vocab.nerc.ac.uk/collection/P06/current/UMSG/,Square metres per gram of dry sediment,Unavailable
SDN:P06::NMMM,http://vocab.nerc.ac.uk/collection/P06/current/NMMM/,Nanomoles per micromole,Unavailable.
SDN:P06::ULPM,http://vocab.nerc.ac.uk/collection/P06/current/ULPM/,Litres per minute,Unavailable
SDN:P06::AMPB,http://vocab.nerc.ac.uk/collection/P06/current/AMPB/,Amperes,The SI base unit of electric current equal to a flow of one coulomb per second.
SDN:P06::DCWK,http://vocab.nerc.ac.uk/collection/P06/current/DCWK/,Degrees Celsius weeks,"Temperature multiplied by time. Used to express temperature accumulation over the duration of a week, also known as Degree Heating Weeks."
SDN:P06::UYMD,http://vocab.nerc.ac.uk/collection/P06/current/UYMD/,Gregorian date (yyyymmdd),"A date according to the Gregorian Calendar expressed as an 8-byte string with the year in bytes 1-4, month within year in bytes 5-6 and day within month in bytes 7-8."
SDN:P06::UPCH,http://vocab.nerc.ac.uk/collection/P06/current/UPCH/,Percent per hour,Unavailable
SDN:P06::UNID,http://vocab.nerc.ac.uk/collection/P06/current/UNID/,Nanograms per day,Unavailable
SDN:P06::UMNT,http://vocab.nerc.ac.uk/collection/P06/current/UMNT/,Months,A time interval of 30.4375 days or 2629800 seconds.
SDN:P06::UMHZ,http://vocab.nerc.ac.uk/collection/P06/current/UMHZ/,Square metres per Hertz,Unavailable
SDN:P06::NBHG,http://vocab.nerc.ac.uk/collection/P06/current/NBHG/,Number per 100 grams,Count of an entity or phenomenon occurrence in one 10th of the SI unit of mass (kilogram).
SDN:P06::GSMD,http://vocab.nerc.ac.uk/collection/P06/current/GSMD/,Grams per square metre per day,10^-3 of the SI unit of mass (kilogram) per SI unit of area in an elapsed time of one day (86400 seconds).
SDN:P06::UPMD,http://vocab.nerc.ac.uk/collection/P06/current/UPMD/,Picomoles per square metre per day,Unavailable
SDN:P06::UCGG,http://vocab.nerc.ac.uk/collection/P06/current/UCGG/,Magnetic susceptibility cgs units per gram,Unavailable
SDN:P06::UNMD,http://vocab.nerc.ac.uk/collection/P06/current/UNMD/,Nanomoles per litre per day,Unavailable
SDN:P06::NMMD,http://vocab.nerc.ac.uk/collection/P06/current/NMMD/,Nanomoles per micromole per day,Unavailable.
SDN:P06::UCGS,http://vocab.nerc.ac.uk/collection/P06/current/UCGS/,Magnetic susceptibility cgs units,Unavailable
SDN:P06::DCPY,http://vocab.nerc.ac.uk/collection/P06/current/DCPY/,Degrees Celsius per year,A rate of change of temperature expressed on the Celsius scale over a period of an average calendar year (365.25 days).
SDN:P06::NMGH,http://vocab.nerc.ac.uk/collection/P06/current/NMGH/,Nanomoles per microgram per hour,Unavailable
SDN:P06::UPVT,http://vocab.nerc.ac.uk/collection/P06/current/UPVT/,Picomoles per cubic metre per second,Unavailable
SDN:P06::SQUM,http://vocab.nerc.ac.uk/collection/P06/current/SQUM/,Square micrometres,A unit of area defined as a square of one micrometre long on each side. It has a dimension of L2 where L is length. It can be converted to the corresponding standard SI unit area by multiplying its value by a factor of 10^-12.
SDN:P06::UYGA,http://vocab.nerc.ac.uk/collection/P06/current/UYGA/,Billions of years before present,The length of time elapsed expressed as billions (10^9) of years between the event of interest and the year 1950 AD.
SDN:P06::LPUM,http://vocab.nerc.ac.uk/collection/P06/current/LPUM/,Litres per micromole,The inverse of a molar concentration - the untits of per molarity.
SDN:P06::MAKG,http://vocab.nerc.ac.uk/collection/P06/current/MAKG/,Million atoms per kilogram,Unit based on one million atoms in a SI standard unit of mass.
SDN:P06::MIKG,http://vocab.nerc.ac.uk/collection/P06/current/MIKG/,Millilitres per kilogram,SI unit of volume scaled by 10^-6 per SI unit of mass.
SDN:P06::NCUM,http://vocab.nerc.ac.uk/collection/P06/current/NCUM/,Newtons per cubic metre,Unavailable
SDN:P06::UGM3,http://vocab.nerc.ac.uk/collection/P06/current/UGM3/,Micrograms per cubic metre per hour,Unavailable
SDN:P06::MSCM,http://vocab.nerc.ac.uk/collection/P06/current/MSCM/,MilliSiemens per centimetre,One part per 10^3 (thousand) of the SI derived unit of electrical conductivity divided by 10^2 parts of the SI base unit of length.
SDN:P06::MBQF,http://vocab.nerc.ac.uk/collection/P06/current/MBQF/,Millibecquerels per square metre per day,One radioactive disintegration per thousand seconds in material passing through an area of one square metre during a period of one day (86400 seconds).
SDN:P06::UUDX,http://vocab.nerc.ac.uk/collection/P06/current/UUDX/,Micrograms per square metre per day,Unavailable
SDN:P06::NBMG,http://vocab.nerc.ac.uk/collection/P06/current/NBMG/,Number per milligram,Count of an entity or phenomenon occurrence in one millionth of the SI unit of mass (kilogram).
SDN:P06::UMTN,http://vocab.nerc.ac.uk/collection/P06/current/UMTN/,Square metres per squared Hertz,Unavailable
SDN:P06::UPCW,http://vocab.nerc.ac.uk/collection/P06/current/UPCW/,Percent per week,A rate of change in percent over a period of 7 days
SDN:P06::PG01,http://vocab.nerc.ac.uk/collection/P06/current/PG01/,per gram,Unavailable
SDN:P06::UGLH,http://vocab.nerc.ac.uk/collection/P06/current/UGLH/,Milligrams per cubic metre per hour,Unavailable
SDN:P06::UGDX,http://vocab.nerc.ac.uk/collection/P06/current/UGDX/,Milligrams per square metre per day,Unavailable
SDN:P06::UHOR,http://vocab.nerc.ac.uk/collection/P06/current/UHOR/,Hours,A time interval of sixty minutes or 3600 seconds.
SDN:P06::UMFX,http://vocab.nerc.ac.uk/collection/P06/current/UMFX/,Micromoles per square metre per hour,Unavailable
SDN:P06::UPMH,http://vocab.nerc.ac.uk/collection/P06/current/UPMH/,Picomoles per litre per hour,A change in the quantity of matter of 10^-12 moles in the SI unit of volume scaled by 10^-3 over a period of 3600 seconds.
SDN:P06::MSMD,http://vocab.nerc.ac.uk/collection/P06/current/MSMD/,Millilitres per square metre per day,Unavailable
SDN:P06::UUUD,http://vocab.nerc.ac.uk/collection/P06/current/UUUD/,Micromoles per square metre per day,Unavailable
SDN:P06::UTRV,http://vocab.nerc.ac.uk/collection/P06/current/UTRV/,Parts per trillion by volume,Unavailable
SDN:P06::MGCS,http://vocab.nerc.ac.uk/collection/P06/current/MGCS/,Milligrams per cubic metre per second,10^-6 of the SI unit of mass (kilogram) per SI unit of volume per SI unit of time.
SDN:P06::UNMH,http://vocab.nerc.ac.uk/collection/P06/current/UNMH/,Nanomoles per litre per hour,Unavailable
SDN:P06::UOHM,http://vocab.nerc.ac.uk/collection/P06/current/UOHM/,Ohms,SI unit of electrical resistance defined as the electrical resistance offered by a current-carrying element that produces a voltage drop of one volt when a current of one ampere is flowing through it.
SDN:P06::UNPG,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,Number per gram,Unavailable
SDN:P06::UAMN,http://vocab.nerc.ac.uk/collection/P06/current/UAMN/,Arc minutes,Unit of angle described as one sixtieth of a degree.
SDN:P06::UMKS,http://vocab.nerc.ac.uk/collection/P06/current/UMKS/,10^-8 * Cubic metres per kilogram,Unavailable
SDN:P06::USIS,http://vocab.nerc.ac.uk/collection/P06/current/USIS/,Magnetic susceptibility SI units,Unavailable
SDN:P06::UNAH,http://vocab.nerc.ac.uk/collection/P06/current/UNAH/,Number per individual per hour,Unavailable
SDN:P06::UM2D,http://vocab.nerc.ac.uk/collection/P06/current/UM2D/,Milligrams per square metre per incubation duration,Unavailable
SDN:P06::UMPM,http://vocab.nerc.ac.uk/collection/P06/current/UMPM/,Micromoles per mole,Unavailable
SDN:P06::UNVH,http://vocab.nerc.ac.uk/collection/P06/current/UNVH/,Cubic microns per individual per hour,Unavailable
SDN:P06::UPCD,http://vocab.nerc.ac.uk/collection/P06/current/UPCD/,Percent per day,Unavailable
SDN:P06::UYBP,http://vocab.nerc.ac.uk/collection/P06/current/UYBP/,Years before present,The length of time elapsed expressed as years between the event of interest and the year 1950 AD.
SDN:P06::MMSM,http://vocab.nerc.ac.uk/collection/P06/current/MMSM/,Millimoles per square metre,Unavailable.
SDN:P06::UYMA,http://vocab.nerc.ac.uk/collection/P06/current/UYMA/,Millions of years before present,The length of time elapsed expressed as millions of years between the event of interest and the year 1950 AD.
SDN:P06::UMNS,http://vocab.nerc.ac.uk/collection/P06/current/UMNS/,per metre per nanometre per steradian,Unavailable
SDN:P06::TISO,http://vocab.nerc.ac.uk/collection/P06/current/TISO/,ISO8601,String corresponding to any legal ISO8601 format mask. This is the concatenation of 'yyyy-mm-dd' with any part of 'Thh:mm:ss.sss' (including none) depending on precision and an optional time zone indicator 'Zxxx' where xxx is the offset from UT.
SDN:P06::GQCY,http://vocab.nerc.ac.uk/collection/P06/current/GQCY/,Grams per square centimetre per year,A rate of change of 0.001 of the SI unit of mass over 0.00001 of the SI unit of area in a period of an average calendar year (365.25 days)
SDN:P06::MCMD,http://vocab.nerc.ac.uk/collection/P06/current/MCMD/,Millimoles per cubic metre per day,Unavailable.
SDN:P06::CMM3,http://vocab.nerc.ac.uk/collection/P06/current/CMM3/,Cubic millimetres,A unit of volume defined as a cube 1 millimetre long on each edge.
SDN:P06::UFPD,http://vocab.nerc.ac.uk/collection/P06/current/UFPD/,per female per day,Unavailable
SDN:P06::UPOP,http://vocab.nerc.ac.uk/collection/P06/current/UPOP/,Percent per metre,Unavailable
SDN:P06::MWSR,http://vocab.nerc.ac.uk/collection/P06/current/MWSR/,Milliwatts per square centimetre per micrometre per steradian,Unavailable
SDN:P06::UNIM,http://vocab.nerc.ac.uk/collection/P06/current/UNIM/,Nanograms per individual per minute,Unavailable
SDN:P06::UHMS,http://vocab.nerc.ac.uk/collection/P06/current/UHMS/,Hours Minutes Seconds,Unavailable
SDN:P06::KGMH,http://vocab.nerc.ac.uk/collection/P06/current/KGMH/,Kilograms per metre per hour,One SI standard unit of mass over one SI standard unit of length over 3600 times one SI standard unit of time.
SDN:P06::ULKG,http://vocab.nerc.ac.uk/collection/P06/current/ULKG/,Litres per kilogram,Unavailable
SDN:P06::UMPE,http://vocab.nerc.ac.uk/collection/P06/current/UMPE/,Moles per Einstein,Unavailable
SDN:P06::MMSD,http://vocab.nerc.ac.uk/collection/P06/current/MMSD/,Moles per square metre per day,SI standard unit of amount of substance per SI unit area in an elapsed time of one day (86400 seconds).
SDN:P06::KIPA,http://vocab.nerc.ac.uk/collection/P06/current/KIPA/,Kilopascals,A force of one thousand Newtons per square metre.
SDN:P06::HPAH,http://vocab.nerc.ac.uk/collection/P06/current/HPAH/,Hectopascals per hour,A change in pressure of one hundred Newtons per square metre (100 Pascals) per hour.  Equivalent to a change of one millibar per hour.
SDN:P06::UMGM,http://vocab.nerc.ac.uk/collection/P06/current/UMGM/,Micromoles per milligram per minute,"10^-6 of the SI unit of quantity of matter (the mole) per milligram of a substance per minute. Used to express the activity of enzymes by giving the quantity of product formed by the enzyme (in micromoles), per mass of total protein (milligrams) in a given amount of time (minute)."
SDN:P06::UM2S,http://vocab.nerc.ac.uk/collection/P06/current/UM2S/,Micromoles per square metre per second,One part per 10^6 (million) of the SI unit of quantity of matter (the mole) per SI unit area per SI unit of time.
SDN:P06::UMUB,http://vocab.nerc.ac.uk/collection/P06/current/UMUB/,Micromoles per micromole per day,A change of one part per 10^6 of the SI unit of quantity of matter per one part per 10^6 of the SI unit of quantity of matter the quantity of matter over a period of 86400 seconds.
SDN:P06::MGPM,http://vocab.nerc.ac.uk/collection/P06/current/MGPM/,MilliGals per month,A rate of change of one millionth part of a unit of gravitational acceleration equal to one centimetre per second per second over a time duration of 30.4375 days or 2629800 seconds.
SDN:P06::NSQD,http://vocab.nerc.ac.uk/collection/P06/current/NSQD/,Nanomoles per square metre per day,Unavailable
SDN:P06::MEKG,http://vocab.nerc.ac.uk/collection/P06/current/MEKG/,MilliEquivalents per kilogram,The amount of substance or substances in a kilogram of solution that will react with one milligram of hydrogen.
SDN:P06::KGPH,http://vocab.nerc.ac.uk/collection/P06/current/KGPH/,Kilograms per hour,Unavailable
SDN:P06::UCLC,http://vocab.nerc.ac.uk/collection/P06/current/UCLC/,Milligrams of carbon per (microEinstein per square metre per second) per milligram of chlorophyll per hour,Unavailable
SDN:P06::UMTB,http://vocab.nerc.ac.uk/collection/P06/current/UMTB/,Square metres.Hertz,Unavailable
SDN:P06::UAQU,http://vocab.nerc.ac.uk/collection/P06/current/UAQU/,Angstrom squared per quantum,Scaled unit by Avagadro's number and powers of ten to m^2/mol.
SDN:P06::USTR,http://vocab.nerc.ac.uk/collection/P06/current/USTR/,Steradians,"The steradian is the SI unit of solid angle. It is used to describe two-dimensional angular spans in three-dimensional space, analogous to the way in which the radian describes angles in a plane."
SDN:P06::UYKA,http://vocab.nerc.ac.uk/collection/P06/current/UYKA/,Kiloyears before present,The length of time elapsed expressed as thousands of years between the event of interest and the year 1950 AD.
SDN:P06::NMPM,http://vocab.nerc.ac.uk/collection/P06/current/NMPM/,Nanomoles per mole,Molar fraction of 10^-9 of the SI unit of quantity of matter (the mole) per SI unit quantity of matter. A concentration unit used to express the number of molecules of a particular substance in a mixture (in nanomoles) divided by the total number of moles in the given mixture.
SDN:P06::USUM,http://vocab.nerc.ac.uk/collection/P06/current/USUM/,Square microns per millilitre,Unavailable
SDN:P06::PIXY,http://vocab.nerc.ac.uk/collection/P06/current/PIXY/,Pixels,The smallest resolvable element of a digital image and a unit of measure in image analysis.
SDN:P06::UWCN,http://vocab.nerc.ac.uk/collection/P06/current/UWCN/,Microwatts per square centimetre per nanometre,The power (scaled by 10^-6) per SI unit of area (scaled by 10^-4) produced per SI unit of length (scaled by 10^-9).
SDN:P06::UNBQ,http://vocab.nerc.ac.uk/collection/P06/current/UNBQ/,Nanobecquerels per litre,Unavailable
SDN:P06::UECH,http://vocab.nerc.ac.uk/collection/P06/current/UECH/,MicroEinsteins per square centimetre per hour,Energy of 10^-6 moles of photons per 10^-4 SI unit area over a period of one hour.
SDN:P06::UMNX,http://vocab.nerc.ac.uk/collection/P06/current/UMNX/,per metre per nanometre,Unavailable
SDN:P06::UYBC,http://vocab.nerc.ac.uk/collection/P06/current/UYBC/,Gregorian calendar years before Christ,A calendar year prior to the origin of the Gregorian calendar expressed as a incrementing integer going back into the past.
SDN:P06::UMTC,http://vocab.nerc.ac.uk/collection/P06/current/UMTC/,Square Metres.Hertz squared,Unavailable
SDN:P06::MBQK,http://vocab.nerc.ac.uk/collection/P06/current/MBQK/,Millibecquerels per kilogram,One radioactive disintegration per thousand seconds from an SI standard unit of mass of sample.
SDN:P06::UPAM,http://vocab.nerc.ac.uk/collection/P06/current/UPAM/,Picoamps per micromole per litre,Unavailable
SDN:P06::MWNS,http://vocab.nerc.ac.uk/collection/P06/current/MWNS/,Milliwatts per square metre per nanometre per steradian,Unavailable
SDN:P06::UMTE,http://vocab.nerc.ac.uk/collection/P06/current/UMTE/,Square metres.Hertz^4,Unavailable
SDN:P06::UESC,http://vocab.nerc.ac.uk/collection/P06/current/UESC/,MicroEinsteins per square centimetre per second,Energy of 10^-6 moles of photons per 10^-4 SI unit area over a period of one second.
SDN:P06::MGSQ,http://vocab.nerc.ac.uk/collection/P06/current/MGSQ/,Milligrams per square metre per hour,Unavailable
SDN:P06::MBQM,http://vocab.nerc.ac.uk/collection/P06/current/MBQM/,Millibecquerels per cubic metre,One radioactive disintegration per thousand seconds from an SI standard unit of volume. Equivalent microbecquerels per litre.
SDN:P06::UUBQ,http://vocab.nerc.ac.uk/collection/P06/current/UUBQ/,Microbecquerels per litre,Unavailable
SDN:P06::MWNM,http://vocab.nerc.ac.uk/collection/P06/current/MWNM/,Milliwatts per square metre per nanometre,Unavailable
SDN:P06::UYAD,http://vocab.nerc.ac.uk/collection/P06/current/UYAD/,Gregorian calendar years anno Domini,A calendar year after the origin of the Gregorian calendar.
SDN:P06::PUML,http://vocab.nerc.ac.uk/collection/P06/current/PUML/,per micromole per litre,Units used to describe the sensitivity of detection of a spectrophotometer.
SDN:P06::UKWN,http://vocab.nerc.ac.uk/collection/P06/current/UKWN/,Not known,"A unit of measure exists, but it is not known."
SDN:P06::UMMH,http://vocab.nerc.ac.uk/collection/P06/current/UMMH/,Micromoles per litre per hour,Unavailable
SDN:P06::MGSS,http://vocab.nerc.ac.uk/collection/P06/current/MGSS/,Milligrams per square metre per second,10^-6 of the SI unit of mass (kilogram) per SI unit of area per SI unit of time.
SDN:P06::UWBQ,http://vocab.nerc.ac.uk/collection/P06/current/UWBQ/,Microbecquerels per kilogram,One radioactive disintegration per hundred thousand seconds from an SI standard unit of mass of sample.
SDN:P06::USVD,http://vocab.nerc.ac.uk/collection/P06/current/USVD/,Sverdrup,One Sverdrup is a million cubic metres per second or a million cumecs.
SDN:P06::UPHI,http://vocab.nerc.ac.uk/collection/P06/current/UPHI/,phi units,"Logarithm to the base 2 of a length, generally sediment grain diameter, in millimetres as devised by Krumbein (1936)."
SDN:P06::EQPL,http://vocab.nerc.ac.uk/collection/P06/current/EQPL/,Equivalents per litre,The amount of substance or substances in a litre of solution that will react with one gram of hydrogen.
SDN:P06::UDTM,http://vocab.nerc.ac.uk/collection/P06/current/UDTM/,yyyymmddhh24miss.dd,Unavailable
SDN:P06::USCM,http://vocab.nerc.ac.uk/collection/P06/current/USCM/,MicroSiemens per centimetre,One part per 10^6 (million) of the SI derived unit of electrical conductivity divided by 10^2 parts of the SI base unit of length.
SDN:P06::NMCH,http://vocab.nerc.ac.uk/collection/P06/current/NMCH/,Nanomoles per cubic centimetre per hour,Unavailable
SDN:P06::PWAV,http://vocab.nerc.ac.uk/collection/P06/current/PWAV/,Picowatts per square centimetre per litre,The power (scaled by 10^-12) per SI unit of area (scaled by 10^-4) produced per SI unit of volume (scaled by 10^-3).
SDN:P06::UVP5,http://vocab.nerc.ac.uk/collection/P06/current/UVP5/,Volts multiplied by 100000,Voltage expressed as volts scaled by multiplying by one hundred thousand.
SDN:P06::HPAX,http://vocab.nerc.ac.uk/collection/P06/current/HPAX/,Hectopascals,A pressure of one hundred Newtons per square metre (100 Pascals).  Equivalent to a millibar.
SDN:P06::UMES,http://vocab.nerc.ac.uk/collection/P06/current/UMES/,MicroEinsteins per square metre per second,Unavailable
SDN:P06::UPBB,http://vocab.nerc.ac.uk/collection/P06/current/UPBB/,Millibars,Unavailable
SDN:P06::USEC,http://vocab.nerc.ac.uk/collection/P06/current/USEC/,Microseconds,A time interval of one millionth of a second.
SDN:P06::UVLT,http://vocab.nerc.ac.uk/collection/P06/current/UVLT/,Volts,Unavailable
SDN:P06::UWNM,http://vocab.nerc.ac.uk/collection/P06/current/UWNM/,Watts per square metre per nanometre,Unavailable
SDN:P06::UBQK,http://vocab.nerc.ac.uk/collection/P06/current/UBQK/,Becquerels per kilogram,One radioactive disintegration per second from an SI standard unit of mass of sample.
SDN:P06::UATM,http://vocab.nerc.ac.uk/collection/P06/current/UATM/,Microatmospheres,Unavailable
SDN:P06::MEQL,http://vocab.nerc.ac.uk/collection/P06/current/MEQL/,MilliEquivalents per litre,The amount of substance or substances in a litre of solution that will react with one milligram of hydrogen.
SDN:P06::UBQL,http://vocab.nerc.ac.uk/collection/P06/current/UBQL/,Becquerels per litre,One radioactive disintegration per second from a one part in 10^3 of the SI unit of volume (cubic metre).
SDN:P06::NBTM,http://vocab.nerc.ac.uk/collection/P06/current/NBTM/,Number per 100 millilitres,Count of an entity or phenomenon occurrence in one part in 10^6 of the SI unit of volume (cubic metre).
SDN:P06::UCPL,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/,Number per litre,Unavailable
SDN:P06::UCNL,http://vocab.nerc.ac.uk/collection/P06/current/UCNL/,Number per nanolitre,Unavailable
SDN:P06::UCUL,http://vocab.nerc.ac.uk/collection/P06/current/UCUL/,Number per microlitre,Unavailable
SDN:P06::UPDS,http://vocab.nerc.ac.uk/collection/P06/current/UPDS/,Percentage of dry sediment,Unavailable
SDN:P06::UPCT,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,Percent,Unavailable
SDN:P06::UCKA,http://vocab.nerc.ac.uk/collection/P06/current/UCKA/,Centimetres per thousand years,Unavailable
SDN:P06::UKNT,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/,Knots (nautical miles per hour),Unavailable
