id,uri,prefLabel,definition
SDN:P02::GP085,http://vocab.nerc.ac.uk/collection/P02/current/GP085/,Fish behaviour,"Parameters describing the actions or reactions of fish (Osteichthyes, Agnatha and Chondrichthyes), usually in response to the environment. Includes both parameters mapped to taxa and those mapped to non-taxonomic groupings."
SDN:P02::ZFIT,http://vocab.nerc.ac.uk/collection/P02/current/ZFIT/,Zooplankton and zoobenthos physiological condition parameters,"Parameters indicating the health of zooplankton and zoobenthos taxa, such as fecundity, egg condition, presence of parasites/diseases etc."
SDN:P02::PEWB,http://vocab.nerc.ac.uk/collection/P02/current/PEWB/,Pesticide concentrations in water bodies,Concentration parameters for substances synthesised by man to kill other life forms in either solution or suspension (i.e.includes measurements in both the dissolved and particulate phases) in any body of salt or fresh water.
SDN:P02::ZATX,http://vocab.nerc.ac.uk/collection/P02/current/ZATX/,Zooplankton taxonomy-related abundance per unit volume of the water column,"Zooplankton (mesozooplankton plus larger pelagic animals excluding fish, reptiles and mammals) abundance parameters presented at the level of taxa that may be mapped to entities in a standard taxonomy registry such as WoRMS or ITIS.  These may be at any taxonomic level from sub-species upwards."
SDN:P02::QDMD,http://vocab.nerc.ac.uk/collection/P02/current/QDMD/,Quantity of material dumped,Parameters quantifying the amount of liquids (e.g. ship's ballast) or solids (e.g. dredge spoil) deposited into the water column as a result of man's activities
SDN:P02::DAAW,http://vocab.nerc.ac.uk/collection/P02/current/DAAW/,Particulate amino acid concentrations in the water column,Parameters quantifying the amount of organic compounds containing both a carboxyl group and an amino group in solids suspended in a body of water.
SDN:P02::GTCH,http://vocab.nerc.ac.uk/collection/P02/current/GTCH/,Geotechnics,Parameters quantifying the properties of rocks and sediments that are relevance to engineering such as physical strength and load-bearing capacity.  Includes the disciplines of rock mechanics and soil mechanics.
SDN:P02::SAMO,http://vocab.nerc.ac.uk/collection/P02/current/SAMO/,Nutrient fluxes between the bed and the water column,Parameters quantifying the exchange of nutrients between the bed (ie the sediment) and the water column sometimes termed benthic fluxes
SDN:P02::OHWC,http://vocab.nerc.ac.uk/collection/P02/current/OHWC/,Concentration of other hydrocarbons in the water column,"'Other' (not alkanes, alkenes, alkynes or PAHs) hydrocarbon concentration parameters (including saturation of gaseous species) in all phases of the water column.  Does not include parameters expressed per unit weight of SPM."
SDN:P02::GP025,http://vocab.nerc.ac.uk/collection/P02/current/GP025/,Seal reproduction,"Parameters related to the reproduction of true seals (Phocidae), eared seals (Otariidae) and walruses (Odobenidae)."
SDN:P02::PEBI,http://vocab.nerc.ac.uk/collection/P02/current/PEBI/,Pesticide concentrations in biota,Concentration parameters for substances synthesised by man to kill other life forms in either whole organisms or their constituent parts.
SDN:P02::BNTC,http://vocab.nerc.ac.uk/collection/P02/current/BNTC/,Bacteria non taxonomy-related biomass expressed as carbon per unit volume of the water column,"Basically any bacteria carbon biomass parameters that aren't included in parameter group BATC because they cannot be mapped to specific taxa in a standard taxonomy registry such as WoRMS or ITIS.  Bacteria are defined as Kingdom Monera, which includes cyanobacteria."
SDN:P02::CNDC,http://vocab.nerc.ac.uk/collection/P02/current/CNDC/,Electrical conductivity of the water column,Parameters quantifying the flow of electrical current through or the electrical resistance of a body of water at any point between the bed and the atmosphere
SDN:P02::DMST,http://vocab.nerc.ac.uk/collection/P02/current/DMST/,Organosulphur and organoselenium species concentration parameters in water bodies,All organosulphur and organoselenium compound concentration parameters (including saturations for gaseous species) in all phases of any body of fresh or salt water.
SDN:P02::IAGE,http://vocab.nerc.ac.uk/collection/P02/current/IAGE/,Ice age,Measured or stratigraphically estimated age of ice
SDN:P02::CSDE,http://vocab.nerc.ac.uk/collection/P02/current/CSDE/,Organic sulphur compound dynamics in the water column,Parameters relating to the rates of creation and consumption of organic sulphur compounds (such as DMS and carbonyl sulphide) in the water column
SDN:P02::SECC,http://vocab.nerc.ac.uk/collection/P02/current/SECC/,Secchi disk depth,Measurements of optical visibility in the water column
SDN:P02::TPHS,http://vocab.nerc.ac.uk/collection/P02/current/TPHS/,Particulate total and organic phosphorus concentrations in the water column,"Concentrations of total and organic phosphorus in the particulate phase of the water column, which is a function of both the SPM concentration in the water column and the concentration of phosphorus per unit weight of SPM."
